Site,Trial,Replicate,Crab_Treatment_Num,Crab_Number,Crab_Mass,Sex,Soil_Strength_Before,Soil_Strength_After,Burrow_Volume,Dig,Escape,Shared
PIE,1,3,3,1,6.38,m,8.66,7,50,1,0,1
PIE,1,3,3,2,4.75,f,8.66,7,50,1,0,1
PIE,1,3,3,3,2.98,m,8.66,7,0,0,0,0
PIE,1,4,3,1,7.98,m,0,0,25,1,0,0
PIE,1,4,3,2,2.79,m,0,0,0,0,1,0
PIE,1,4,3,3,7.58,m,0,0,0,0,0,0
PIE,2,1,3,1,9.15,m,24,22.3,0,0,0,0
PIE,2,1,3,2,4.25,f,24,22.3,0,0,0,0
PIE,2,1,3,3,7.5,m,24,22.3,0,0,0,0
PIE,2,2,3,1,7.48,m,16.6,16.6,0,0,0,0
PIE,2,2,3,2,5,f,16.6,16.6,0,0,0,0
PIE,2,2,3,3,3.94,m,16.6,16.6,0,0,0,0
PIE,2,3,3,1,6.53,m,10,8.6,0,0,0,0
PIE,2,3,3,2,3.1,f,10,8.6,0,0,0,0
PIE,2,3,3,3,3.8,f,10,8.6,0,0,0,0
PIE,2,4,3,1,4.81,m,0,0,0,0,0,0
PIE,2,4,3,2,3.89,f,0,0,50,1,0,0
PIE,2,4,3,3,3.75,m,0,0,0,0,0,0
PIE,3,1,3,1,5.5,m,24.6,,0,0,0,0
PIE,3,1,3,2,5.5,f,24.6,,0,0,0,0
PIE,3,1,3,3,3.1,m,24.6,,0,0,0,0
PIE,3,2,3,1,4.3,f,17.6,,0,0,0,0
PIE,3,2,3,2,9.9,m,17.6,,0,0,0,0
PIE,3,2,3,3,3.6,m,17.6,,0,0,0,0
PIE,3,3,3,1,4.3,m,9,,8,1,0,0
PIE,3,3,3,2,2.5,f,9,,15,1,0,1
PIE,3,3,3,3,3.5,f,9,,15,1,0,1
PIE,3,4,3,1,4.6,f,0,,12,1,0,0
PIE,3,4,3,2,3.6,f,0,,11,1,0,0
PIE,3,4,3,3,3.5,m,0,,5,1,0,0
PIE,4,1,3,1,1.85,m,23.3,,0,0,0,0
PIE,4,1,3,2,7.06,m,23.3,,0,0,0,0
PIE,4,1,3,3,2,m,23.3,,0,0,0,0
PIE,4,2,3,1,9.53,m,12.33,12,35,1,0,1
PIE,4,2,3,2,2.83,m,12.33,12,35,1,0,1
PIE,4,2,3,3,4.01,f,12.33,12,0,0,0,0
PIE,4,3,3,1,11.28,m,8.66,8.66,20,1,0,0
PIE,4,3,3,2,3.4,m,8.66,8.66,0,0,0,0
PIE,4,3,3,3,4.08,m,8.66,8.66,0,0,0,0
PIE,4,4,3,1,11.27,m,0,0,0,0,0,0
PIE,4,4,3,2,3.98,m,0,0,0,0,0,0
PIE,4,4,3,3,3.22,f,0,0,25,1,0,0
